في	in/ within	fī
باراك
وتعالى	to rise/ ascend	taʕālā
العراقيين
رجب	Rajab (the seventh month of the Islamic calendar)	rajab
رسم	to draw/ to trace/ to sketch/ to depict/ to portray/ to outline/…	rasama
ومنذ	denotes the time at which an occurrence started	munḏu
نداء	verbal noun of نَادَى (nādā) (form III)	nidāʔ
السلامة	verbal noun of سَلِمَ (salima) (form I)	salāma
والمنتجات
يطلب		form I
طبخ	to cook	ṭabaḵa
الجهاد	verbal noun of جَاهَدَ (jāhada) (form III)	jihād
أبا	to father	ʔabā
وطن	nation	waṭan
البرلمانية
اليورو	euro	yūrō
نوكيا
ح	The sixth letter of the Arabic alphabet/ called حَاء (ḥāʔ) and…	/ħaːʔ/
تستمر		form X
فإنها
إزالة	verbal noun of أَزَالَ (ʔazāla) (form IV)	ʔizāla
التاريخي	historical	tārīḵiyy
وتحقيق	verbal noun of حَقَّقَ (ḥaqqaqa) (form II)	taḥqīq
إمتيازات
سجن	to confine/ to imprison	sajana
أعلم	to inform/ to notify (construed with a direct object of the person…	ʔaʕlama
عشاق
أميركا	America/ United States of America (a country in North America/ in…	ʔamērikā
ملاحظة	verbal noun of لَاحَظَ (lāḥaẓa).	mulāḥaẓa
أيار	May/ the 5th month of the Gregorian calendar	ʔayyār
سياسيا
وأوضحت
أدناه
وطالب	seeker/ pursuer	ṭālib
أردوغان
الولاية	verbal noun of وَلِيَ (waliya) (form I)	wilāya
استفسارات
جيل	generation (entity of the same time period/ or the time period itself)	jīl
يقدر		form I
أبواب	plural of بَاب (bāb)	ʔabwāb
أهالي		ʔahālī
الاعتبار	verbal noun of اِعْتَبَرَ (iʕtabara) (form VIII)	iʕtibār
بالتسجيل	verbal noun of سَجَّلَ (sajjala) (form II)	tasjīl
تجميل	verbal noun of جَمَّلَ (jammala) (form II)	tajmīl
الياباني	Japanese	yābāniyy
خالية	feminine singular of خَالٍ (ḵālin)	ḵāliya
سموه
الخ
بدوره
البنية	verbal noun of بَنَى (banā) (form I)	binya
الحجم	size/ volume	ḥajm
المرتبة	step	martaba
أجزاء	plural of جُزْء (juzʔ)	ʔajzāʔ
للكبار	inflection of كَبِير (kabīr):	kibār
ورحمة	verbal noun of رَحِمَ (raḥima) (form I)	raḥma
الخوف	verbal noun of خَافَ (ḵāfa) (form I)	ḵawf
وتوفير	verbal noun of وَفَّرَ (waffara) (form II)	tawfīr
التشريعية
والخبرة	verbal noun of خَبَرَ (ḵabara) (form I)	ḵibra or ḵubra
المراقبة	verbal noun of رَاقَبَ (rāqaba) (form III)	murāqaba
لطب	verbal noun of طَبَّ (ṭabba) (form I)	ṭibb
أريد		form IV
نادى	to shout	nādā
خسائر
إليهم	to them	ʔilayhim
بجروح
الكيمياء	chemistry	kīmiyāʔ
منظومة	system	manẓūma
جفعات
الاعتماد	verbal noun of اِعْتَمَدَ (iʕtamada) (form VIII)	iʕtimād
السماح
سريعة	feminine singular of سَرِيع (sarīʕ)	sarīʕa
عملها
القطرية
عقدت		form I
والرئيس	boss/ chief/ leader	raʔīs
حصة	share/ quota/ ration/ contingent	ḥiṣṣa
أسابيع	plural of أُسْبُوع (ʔusbūʕ)	ʔasābīʕ
موضوعات
بعده
للايجار
للدفاع	verbal noun of دَافَعَ (dāfaʕa) (form III)	difāʕ
الايام
المراحل	plural of مَرْحَلَة (marḥala)	marāḥil
إصلاح	verbal noun of أَصْلَحَ (ʔaṣlaḥa) (form IV)	ʔiṣlāḥ
إستضافة
الوثائق	plural of وَثِيقَة (waṯīqa)	waṯāʔiq
وإعادة	verbal noun of أَعَادَ (ʔaʕāda) (form IV)	ʔiʕāda
أشكال	plural of شَكْل (šakl)	ʔaškāl
بلاك
يقبل		form I
جنيف	Geneva (a city in Switzerland)	jinīf
الروابط	plural of رَابِطَة (rābiṭa)	rawābiṭ
عيش	verbal noun of عَاشَ (ʕāša) (form I)	ʕayš
تنزيل	verbal noun of نَزَّلَ (nazzala) (form II)	tanzīl
البدنية
تابع	to continue/ carry on	tābaʕa
والاقتصادية	feminine singular of اِقْتِصَادِيّ (iqtiṣādiyy)	iqtiṣādiyya
النسائية
صلة	verbal noun of وَصَلَ (waṣala) (form I)	ṣila or ṣula
عامين
طويلا
الموجود	existing	mawjūd
الاوروبية
اسلاميه
المانيا
وابن	son	ibn
الشيرنج
أسهم	plural of سَهْم (sahm)	ʔashum
اني
معالي
تيار	stream/ current (originally of the sea/ then winds or else in…	tayyār
التعرف	to become acquainted/ with/ to meet	taʕarrafa
عوض	to offset/ to compensate/ to substitute/ to replace/ to make up for	ʕawwaḍa
المحامي		muḥāmī
غسالات
ثمن	a price	ṯaman
ابتداء	verbal noun of اِبْتَدَأَ (ibtadaʔa) (form VIII)	ibtidāʔ
بقدر	to have power	qadara
انك
الكبار	inflection of كَبِير (kabīr):	kibār
الاحلام
تلفزيون	television/ TV	tilifizyūn or talafizyūn
البالغ	to exaggerate	bālaḡa
الجغرافيا
ينتظر		form VIII
الجبل	mountain	jabal
اللقاءات	plural of لِقَاء (liqāʔ)	liqāʔāt
روزنامة	almanac	rūznāma
السياسات	plural of سِيَاسَة (siyāsa)	siyāsāt
أقصى	further/ more distant/ furthest/ most distant	ʔaqṣā
عراقي	Iraqi	ʕirāqiyy
الأولية
التوتر
زامبيا	Zambia (a country in Africa)	zambiyā
الوردية
بالتأكيد	verbal noun of أَكَّدَ (ʔakkada) (form II)	taʔkīd
قياس	verbal noun of قَاسَ (qāsa) (form I)	qiyās
الألوان	plural of لَوْن (lawn)	ʔalwān
شأنها
المستقلة	feminine singular of مُسْتَقِلّ (mustaqill)	mustaqilla
للمجلس	seat	majlis
الإنساني
تجديد	verbal noun of جَدَّدَ (jaddada) (form II)	tajdīd
أعتقد		form VIII
المعروفة
طالما	often/ always (followed by a verbal clause)	ṭālamā
دولارا
توحيد	verbal noun of وَحَّدَ (waḥḥada/ “to unify/ to connect/ to…	tawḥīd
منافسات	plural of مُنَافَسَة (munāfasa)	munāfasāt
الغامدي
جاهزة
الخطوات	plural of خَطْوَة (ḵaṭwa)	ḵaṭawāt
وبذلك	that (demonstrative pronoun)	ḏālika
كرونة
منظمات	plural of مُنَظَّمَة (munaẓẓama)	munaẓẓamāt
السرعة	verbal noun of سَرُعَ (saruʕa) (form I)	surʕa
الالماني
مستعملة
الموضة	fashion/ trend/ style/ vogue	mūḍa
الديموقراطية
محرك	active participle of حَرَّكَ (ḥarraka)	muḥarrik
مستلزمات
القصر	to be or become short/ to shorten	qaṣura
بعدد	number	ʕadad
تطالب
هادي	a male given name	hādī
القطري	Qatari	qaṭariyy
ش	The thirteenth letter of the Arabic alphabet/ written in the…	/ʃiːn/
يتحمل		form V
التوفر	to pay respect/ honor or regards to	tawaffara
ولعل	hopefully	laʕalla
سياحة	verbal noun of سَاحَ (sāḥa) (form I)	siyāḥa
النارية
درس	to erase/ to efface/ to obliterate/ to wipe out/ to make hard to see	darasa
تجري		form I
الادب
البطريرك
التوحيد	verbal noun of وَحَّدَ (waḥḥada/ “to unify/ to connect/ to…	tawḥīd
بزيادة	verbal noun of زَادَ (zāda) (form I)	ziyāda
الادبية
يتعرض
بنفسه
وبما	with what/ with which	bi-mā
وأنت	you/ thou (masculine singular subject pronoun)	ʔanta
الأحاديث	plural of حَدِيث (ḥadīṯ)	ʔaḥādīṯ
الاسلاميه
امر
فريد	alone/ single	farīd
المستويات
بدءا
للجيش	verbal noun of جَاشَ (jāša)	jayš
قادر	powerful	qādir
قصف	to break/ shatter/ smash	qaṣafa
إجمالي	comprehensive/ general/ total	ʔijmāliyy
متضمنة
أصدر	to issue	ʔaṣdara
رسوم	plural of رَسْم (rasm)	rusūm
الجماعات
أسس	to mark out and lay the foundations of (a building)	ʔassasa
طبيعيا
تسويق	verbal noun of سَوَّقَ (sawwaqa) (form II)	taswīq
المعدات	equipment	muʕaddāt
يقولون		yaqūlūna
مقاومة	resistance	muqāwama
مرتين	twice	marratayni
يشهد		form I
الفيس
الويب
للتعليم	verbal noun of عَلَّمَ (ʕallama) (form II)	taʕlīm
للمرأة
تركي	Turkish	turkiyy
هوية	identity	huwiyya
للحزب	political party	ḥizb
أنشطة	plural of نَشَاط (našāṭ)	ʔanšiṭa
اربعة
جسر	bridge	jisr
توسيع	making (something) spacious	tawsīʕ
سجلت		form II
تقدير	verbal noun of قَدَّرَ (qaddara) (form II)	taqdīr
أدبية
اصدار
فضاء	vast and unlimited space/ empty space	faḍāʔ
قاله
القليلة	feminine singular of قَلِيل (qalīl)	qalīla
الأردني	Jordanian	ʔurduniyy
أشرف	elative degree of شَرِيف (šarīf):	ʔašraf
يول		yūla
الطويل	long/ tall	ṭawīl
المشاعر	plural of مَشْعَر (mašʕar)	mašāʕir
مميز	passive participle of مَيَّزَ (mayyaza)	mumayyaz
اجتماعات	plural of اِجْتِمَاع (ijtimāʕ)	ijtimāʕāt
أموال	plural of مَال (māl)	ʔamwāl
ليل	nighttime/ night	layl
الشرعي	lawful/ legal	šarʕiyy
الروبل
المصارعة
الرائعة	amazing thing/ marvel	rāʔiʕa
الفعاليات
تضع		form I
أستاذ	professor	ʔustāḏ
الوقود
حياتك
الشاشة	screen/ monitor/ display	šāša
تستهدف		form X
الإخبارية
الاراضي
السنوية
الهامة	vermin/ crawler/ creeper	hāmma
اعتبارا	from/ starting (from)/ dating (from) (used with the preposition…	iʕtibāran
يتمكن
فرد	to be single/ be alone	farada or faruda
يجمع		form I
تقدر	to cause oneself to measure/ reckon/ or compute	taqaddara
تقف		form I
الستة	six	sitta
وصور	to form/ to create	ṣawwara
الفضائي
وتعزيز
المشكلات	plural of مُشْكِلَة (muškila)	muškilāt
يتمتع		form V
صحافة	journalism/ news business	ṣiḥāfa or ṣaḥāfa
قيادات
المرافق	close friend (especially at school)/ associate/ companion	murāfiq
طبي	medical	ṭibbiyy
الجنائية
وفيما	while	fīmā
سبع	masculine of سَبْعَة (sabʕa/ “seven”)	sabʕ
التهاب	verbal noun of اِلْتَهَبَ (iltahaba) (form VIII)	iltihāb
الابداع
لوقف	to come to a stop/ to come to a standstill	waqafa
مقال	verbal noun of قَالَ (qāla) (form I)	maqāl
وتحديد	verbal noun of حَدَّدَ (ḥaddada) (form II)	taḥdīd
ومدى	to stretch/ extend	madā
الشكر	to thank/ to be thankful/ to be grateful	šakara
الاغانى
الصحيحة	feminine singular of صَحِيح (ṣaḥīḥ)	ṣaḥīḥa
وقام	to stand up (to rise from lying or sitting position)/ to get up	qāma
المعتمدة
كواشا
دينا		form II
اقل		uqlu
احسن		form I
البدء	verbal noun of بَدَأَ (badaʔa) (form I)	badʔ
كميات	plural of كَمِّيَّة (kammiyya)	kammiyyāt
وطلب	to search/ to look	ṭalaba
الشيوخ
وعلي	to be exalted/ high	ʕaliya
الأشكال	plural of شَكْل (šakl)	ʔaškāl
المخرج	exit/ place of issue	maḵraj
تحالف	to ally with one another	taḥālafa
حروف	plural of حَرْف (ḥarf)	ḥurūf
استمرت		form X
ذاك	that (demonstrative pronoun)	ḏāka
وآخر	last/ ultimate/ utmost/ extreme	ʔāḵir
شأنه
المحافظ	conservative	muḥāfiẓ
جل	great	jall
الكريمة
اندرويد
نتمنى		form V
المرئيات
الحجر	to stop/ to hinder	ḥajara
الاشراف
اسباب
الطوارئ
بطاقات	plural of بِطَاقَة (biṭāqa)	biṭāqāt
الناحية	side/ direction	nāḥiya
المواجهة
فك	to untie a knot	fakka
المحدودة
معتبرا
الحكمة
الأسماء	a female given name/ Asma/ Asmae/ or Asmaa	ʔasmāʔ
محاكمة	verbal noun of حَاكَمَ (ḥākama) (form III)	muḥākama
الإيطالي
الماسنجر
أجنبية	female equivalent of أَجْنَبِيّ (ʔajnabiyy)	ʔajnabiyya
والتكنولوجيا	technology	teknolōjyā
يكفي		form I
الظاهرة	phenomenon	ẓāhira
والشكاوي
ضم	to gather/ hoard/ join/ bring near	ḍamma
ممثلة	female equivalent of مُمَثِّل (mumaṯṯil/ “actor/ representative”):	mumaṯṯila
بالذكر	to mention	ḏakara
وغيره
برمجة	verbal noun of بَرْمَجَ (barmaja) (form Iq)/ programming	barmaja
الدموية
وكشف	to remove/ to uncover/ to reveal	kašafa
الاجراءات
اجتماعا
التكوين	verbal noun of كَوَّنَ (kawwana) (form II)	takwīn
وحول	verbal noun of حَالَ (ḥāla) (form I)	ḥawl
تمام	verbal noun of تَمَّ (tamma) (form I)	tamām
والاستقرار	verbal noun of اِسْتَقَرَّ (istaqarra) (form X)	istiqrār
جهات	plural of جِهَة (jiha)	jihāt
المنبر	minbar/ pulpit	minbar
تسربات
ثابت	constant	ṯābit
سبل	plural of سَبِيل (sabīl)	subul
ألفا
كلم	to speak/ to talk/ to address	kallama
الفطر
بولاية	verbal noun of وَلِيَ (waliya) (form I)	wilāya
ضمانات
داخلية	interior	dāḵiliyya
المحاسبة	verbal noun of حَاسَبَ (ḥāsaba).	muḥāsaba
البترول
استغلال	verbal noun of اِسْتَغَلَّ (istaḡalla) (form X)	istiḡlāl
المراة
الصينى
الاستخبارات
للبنات	plural of بِنْت (bint)	banāt
نظرة	instance noun of نَظَرَ (naẓara): a look	naẓra
الخلاف	verbal noun of خَالَفَ (ḵālafa) (form III)	ḵilāf
الحكومات
حائل	altering/ changing/ being transmuted	ḥāʔil
بمصر	Egypt (a country in North Africa and West Asia)	miṣr
مثلما	as (in the same manner as)	miṯlamā
الأنظمة	plural of نِظَام (niẓām)	ʔanẓima
تخصص	to specialize in/ to get designated or allocated	taḵaṣṣaṣa
بدور	to turn in a circle/ to spin/ to whirl/ to revolve/ to rotate	dawwara
باتت		bātat
مسرح	pasture	masraḥ
المتوقعة
العسل	to move/ to vibrate/ to shake	ʕasala
نقاش	verbal noun of نَاقَشَ (nāqaša) (form III)	niqāš
كن	you/ your (feminine plural bound object pronoun)	-kunna
استقرار	verbal noun of اِسْتَقَرَّ (istaqarra) (form X)	istiqrār
بسعر	price	siʕr
رأيت		form I
أقدم	to dare	ʔaqdama
للفريق	team	farīq
الفئات
شرعية	legality/ lawfulness	šarʕiyya
نجح	to succeed/ to be successful	najaḥa
الباطن
خيرا
تكريم	verbal noun of كَرَّمَ (karrama) (form II)	takrīm
المساحة	eraser	massāḥa
عندي
الخليجي
بنحو	side/ direction	naḥw
خزانات	plural of خِزَانَة (ḵizāna)	ḵizānāt
فهناك	there	hunāka
إنجاز	verbal noun of أَنْجَزَ (ʔanjaza) (form IV)	ʔinjāz
باستمرار	verbal noun of اِسْتَمَرَّ (istamarra) (form X)	istimrār
هولندا	Holland (a historical province of the Netherlands)	hūlandā
البقرة
انفجار	verbal noun of اِنْفَجَرَ (infajara) (form VII)	infijār
موريتانيا	Mauritania (a country in West Africa)	mūrītāniyā
مسعود	passive participle of سَعَدَ (saʕada)	masʕūd
المسيحيين
تصفح	to browse	taṣaffaḥa
الترا
الصعبة	feminine singular of صَعْب (ṣaʕb)	ṣaʕba
العقيد
الشعور	verbal noun of شَعَرَ (šaʕara) (form I)	šuʕūr
وتكون	to be established/ to be created/ to be formed/ come into…	takawwana
بإذن	verbal noun of أَذِنَ (ʔaḏina) (form I)	ʔiḏn
واليوم	day/ period from sunrise to sunset	yawm
زفات
الشتاء
غيار	gear	ḡēr
وتعتبر
اللذين	accusative masculine dual of اَلَّذِي (allaḏī/ “who/ that/ which”)	al-laḏayni
الدعاء	verbal noun of دَعَا (daʕā) (form I)	duʕāʔ
المجيد
كريات
مستعارة
الأبحاث	plural of بَحْث (baḥṯ)	ʔabḥāṯ
القصيم
أسلحة	plural of سِلَاح (silāḥ)	ʔasliḥa
النزاع
تتعرض
الحقائق	plural of حَقِيقَة (ḥaqīqa)	ḥaqāʔiq
الريسيفرات
يختلف		form VIII
يفعل		form I
مسجل	registrar/ notary public	musajjil
تتبع	to pursue/ investigate/ examine	tatabbaʕa
صاحبة	female equivalent of صَاحِب (ṣāḥib/ “friend/ companion/ owner/…	ṣāḥiba
يدفع		form I
الهجمات
الكرتون
لمناقشة	verbal noun of نَاقَشَ (nāqaša/ “to argue”) (form III)	munāqaša
قرابة	about/ almost/ approximately/ just/ nearly/ roughly	qurāba
بيننا
عميد	headman/ dean	ʕamīd
الحضارة
الترفيهي
الأمانة	verbal noun of أَمُنَ (ʔamuna) (form I)	ʔamāna
فيس
الجنرال	general (officer in any general rank/ such as a brigadier general/…	jinirāl
الذاكرة	memory	ḏākira
المسلمون
المرشح	candidate (in an election)/ nominee	muraššaḥ
مائة	alternative spelling of مِئَة (miʔa/ “hundred”)	miʔa
الإنجليزي
الباحثين
الخطر	danger/ risk/ hazard/ peril/ calamity/ jeopardy	ḵaṭar
تشعر		form I
وافق	to succeed/ go well	wāfaqa
مصير	verbal noun of صَارَ (ṣāra) (form I)	maṣīr
لأنهم
لأجهزة	plural of جِهَاز (jihāz)	ʔajhiza
رجلا
الخيار	cucumber	/xi.jaːr/
الكورية
الهندسية
العفش
عقوبات	plural of عُقُوبَة (ʕuqūba)	ʕuqūbāt
أمريكي	American	ʔamrīkiyy
للاستثمار	verbal noun of اِسْتَثْمَرَ (istaṯmara) (form X)	istiṯmār
ووزير	minister/ cabinet minister	wazīr
نقيب	captain	naqīb
زوار	plural of زَائِر (zāʔir)	zuwwār
أمرا
ومصر	Egypt (a country in North Africa and West Asia)	miṣr
تتحدث		form V
الحكيم
والجمال	verbal noun of جَمُلَ (jamula) (form I)	jamāl
هجمات
اراء
والفيديو	video	fīdiyū
الساعات	plural of سَاعَة (sāʕa)	sāʕāt
تنتهي		form VIII
البشير	bringer of good news/ herald/ harbinger	bašīr
التحكيم
ينظر		form I
متوسطة	feminine singular of مُتَوَسِّط (mutawassiṭ)	mutawassiṭa
طبقا
الجائزة	prize	jāʔiza
دولي	international	duwaliyy
قديمة	feminine singular of قَدِيم (qadīm)	qadīma
شوارع	plural of شَارِع (šāriʕ)	šawāriʕ
فبر	land/ dry land (as opposed to sea)	barr
استطاع	to be able to/ to be capable of/ can	istaṭāʕa
استمر	to continue	istamarra
متن	to be firm/ to be solid/ to be sturdy	matuna
المستعمل	passive participle of اِسْتَعْمَلَ (istaʕmala)	mustaʕmal
الإطلاق	verbal noun of أَطْلَقَ (ʔaṭlaqa) (form IV)	ʔiṭlāq
تتمتع		form V
ليلا	by night	laylan
معايير	plural of مِعْيَار (miʕyār)	maʕāyīr
حبيب	beloved	ḥabīb
الجانبين
انتخاب	election	intiḵāb
توب	verbal noun of تَابَ (tāba) (form I)	tawb
التضامن
عمار	developer/ builder	ʕammār
طالبان	Taliban (a Deobandi Islamist and largely Pashtun religious…	ṭālibān
البحري
بحلول	verbal noun of حَلَّ (ḥalla) (form I)	ḥulūl
حميد	praiseworthy	ḥamīd
اختلاف	verbal noun of اِخْتَلَفَ (iḵtalafa) (form VIII)	iḵtilāf
حامد	praising	ḥāmid
بسيط	wide/ extended/ spread out	basīṭ
تأخذ		form I
محور	axis/ pivot	miḥwar
الصيام
ثالثة
اختراق	verbal noun of اِخْتَرَقَ (iḵtaraqa) (form VIII)	iḵtirāq
اونلاين
فنون	plural of فَنّ (fann)	funūn
المحبة	verbal noun of حَبَّ (ḥabba) (form I)	maḥabba
سودانيزاونلاين
الأسماك
الجريدة	singulative of جَرِيد (jarīd/ “defoliated palm”)	jarīda
يستحق		form X
انتاج
كسل	verbal noun of كَسِلَ (kasila) (form I)	kasal
الذاتي
ايار
جنود	plural of جُنْد (jund)	junūd
بالشعر	to know/ to have knowledge/ to be cognizant	šaʕara
هاتفك
موضع	verbal noun of وَضَعَ (waḍaʕa) (form I)	mawḍiʕ
ثانوية	ellipsis of مَدْرَسَة ثَانَوِيَّة (madrasa(t) ṯānawiyya/…	ṯānawiyya
حارس	guard/ watchman/ guardian/ keeper	ḥāris
توفيق	verbal noun of وَفَّقَ (waffaqa/ “to fit/ to accommodate/ to…	tawfīq
وأعضاء	plural of عُضْو (ʕuḍw) and عِضْو (ʕiḍw)	ʔaʕḍāʔ
للبحث	to search	baḥaṯa
جعجع	to bluster/ fanfare
تحظى		taḥẓā
المصلحة	verbal noun of صَلَحَ (ṣalaḥa) (form I)	maṣlaḥa
معدلات
اليمين	right/ right side (opposed to left)	yamīn
كرم	to be or become noble	karuma
سوبر
اليوتيوب
الأصدقاء	plural of صَدِيق (ṣadīq)	ʔaṣdiqāʔ
أضاف	to add/ to append/ to attach	ʔaḍāfa
تدريبية
اليونان	Greece (a country in Southeastern Europe)	al-yūnān
البطولات
كونه
هدفا
الاداري
يطالب
يستمر		form X
قاتل	to combat/ to battle/ to fight	qātala
الرغبة	verbal noun of رَغِبَ (raḡiba) (form I)	raḡba
الأجانب
غالبية	majority	ḡālibiyya
يعطي		form IV
بحرية	marine/ navy	baḥriyya
وعليه	third-person singular masculine of عَلَى (ʕalā)	ʕalayhi
وحماية	verbal noun of حَمَى (ḥamā) (form I)	ḥimāya
ديفيد	a male given name/ equivalent to English David	dayfīd
يتيح
أغنية	song/ melody/ tune	ʔuḡniyya
أجواء	plural of جَوّ (jaww)	ʔajwāʔ
اصحاب
الاسعار
أون
المويه
التحليل	verbal noun of حَلَّلَ (ḥallala) (form II)	taḥlīl
أدنى	elative degree of دَنِيّ (daniyy/ “near/ low/ mean”):	ʔadnā
للكاتب	to keep up a correspondence/ to correspond with	kātaba
حديثا
الإسكان
معي	alternative form of مِعًى (miʕan)	maʕy
أغاني
للسيارات	plural of سَيَّارَة (sayyāra)	sayyārāt
تأسست
مفيدة	feminine singular of مُفِيد (mufīd)	mufīda
دى
والموقع	site/ position/ emplacement/ place/ spot/ scene/ locus/ locale/…	mawqiʕ
حوله
للأعضاء	plural of عُضْو (ʕuḍw) and عِضْو (ʕiḍw)	ʔaʕḍāʔ
والاتحاد	verbal noun of اِتَّحَدَ (ittaḥada) (form VIII)	ittiḥād
بمختلف	different	muḵtalif
أحياء	plural of حَيّ (ḥayy)	ʔaḥyāʔ
يستقبل		form X
الأدوات	plural of أَدَاة (ʔadāh)	ʔadawāt
الهندي
أولاد	plural of وَلَد (walad)	ʔawlād
كاملا
مطالب
مروان	a male given name/ Marwan	marwān
عضوية	membership	ʕuḍwiyya
يتوقع		form V
زائر	visitor/ guest/ caller	zāʔir
اعتبار	verbal noun of اِعْتَبَرَ (iʕtabara) (form VIII)	iʕtibār
والسياحة	verbal noun of سَاحَ (sāḥa) (form I)	siyāḥa
كليب	rabid/ infected with rabies	kalīb
نونبر	Maghreb form of نُوفِمْبَر (nūfimbar): November (eleventh month of…	nuwanbir
صدرت		form I
يواجه
المساجد
وسجل	to register/ enter/ make an entry	sajjala
الدهون
الأوراق	plural of وَرَق (waraq)	ʔawrāq
أفكار	plural of فِكْر (fikr)	ʔafkār
المتظاهرين
مراد	plural of مَارِد (mārid)	murrād
أولئك	plural of ذٰلِكَ (ḏālika/ “that”)	ʔulāʔika
قلة	verbal noun of قَلَّ (qalla) (form I)	qilla
بسم	to smile	basama
قلبي	related to the heart	qalbiyy
للموقع	site/ position/ emplacement/ place/ spot/ scene/ locus/ locale/…	mawqiʕ
السياحي	tourist	siyāḥiyy
حفر	to dig/ dig out/ hollow	ḥafara
والسياسية	female equivalent of سِيَاسِيّ (siyāsiyy)	siyāsiyya
المهاجرين
عائلته
وجهه
واضحا
هاشم	a male given name/ Hashim	hāšim
قصيدة	poem	qaṣīda
سيطرة	verbal noun of سَيْطَرَ (sayṭara) (form Iq)	sayṭara
البيض
بالمغرب	Maghreb (the predominantly Arabic-speaking geographic region…	al-maḡrib
سلطات	plural of سُلْطَة (sulṭa)	suluṭāt
بارك	to bless	bāraka
الذكر	to mention	ḏakara
إدخال	verbal noun of أَدْخَلَ (ʔadḵala) (form IV)	ʔidḵāl
شعبنا		form I
مونتاج	montage.	mūntāj
قبائل	plural of قَبِيلَة (qabīla)	qabāʔil
شخصيا	personally	šaḵṣiyyan
تطلق		form I
لموقع	site/ position/ emplacement/ place/ spot/ scene/ locus/ locale/…	mawqiʕ
الخطيب
فعالية	efficiency	faʕāliya
تخصيص	verbal noun of خَصَّصَ (ḵaṣṣaṣa) (form II)	taḵṣīṣ
مشرف	active participle of أَشْرَفَ (ʔašrafa)	mušrif
شريط	rope/ string/ cord (originally of palm bast)	šarīṭ
الفحص	to examine	faḥaṣa
وسيتم
تنظم		form I
الآلاف	plural of أَلْف (ʔalf)	ʔālāf
عوامل	plural of عَامِل (ʕāmil)	ʕawāmil
يحدد		form I
رصد	to observe	raṣada
لتحسين	verbal noun of حَسَّنَ (ḥassana) (form II)	taḥsīn
المشرف	active participle of أَشْرَفَ (ʔašrafa)	mušrif
خسارة	verbal noun of خَسِرَ (ḵasira/ “to lose/ go astray”) (form I)	ḵasāra
يعملون		form I
الأجواء	plural of جَوّ (jaww)	ʔajwāʔ
الايرانية
الليرة	pound (denomination of currency used in Syria and Lebanon)	layra
اصبح		form I
أطباء	plural of طَبِيب (ṭabīb)	ʔaṭibbāʔ
المشرفين
حافظ	to preserve/ to maintain/ to keep up/ to uphold/ to sustain	ḥāfaẓa
الضحك	verbal noun of ضَحِكَ (ḍaḥika) (form I)	ḍaḥik or ḍiḥk or ḍaḥk
كلينتون
قبيل	guarantor	qabīl
ضخمة
وايت
بشير	bringer of good news/ herald/ harbinger	bašīr
لعدد	number	ʕadad
الراعي		rāʕī
بدا	to appear	badā
عظيم	magnificent/ grandiose	ʕaẓīm
يزور		form I
الميدان	square (open space in a city)	maydān
الصناعات
إنهم
نارية
الشروق
تعليقات
الحيوان
تسمى	to use as a name/ to go by	tasammā
المعتقلين
بالطبع	to print/ imprint/ stamp	ṭabaʕa
ضربة	a blow/ a stroke/ a hit	ḍarba
الخمس	Al-Khums (a city in Tripolitania/ Libya)	al-ḵums
الزينة
أعرف	elative degree of عَرِيف (ʕarīf)/ elative degree of عَارِف (ʕārif):	ʔaʕraf
محسن	active participle of حَسَّنَ (ḥassana).	muḥassin
المعايير	plural of مِعْيَار (miʕyār)	maʕāyīr
الإطار	frame/ framework (also from doors and eyewear/ and about things…	ʔiṭār
المحاكم
رأسه
لتعزيز
نير	luminous/ lucid/ bright	nayyir
المحادثات	plural of مُحَادَثَة (muḥādaṯa)	muḥādaṯāt
للحفاظ
وير
إننا
الصواريخ	plural of صَارُوخ (ṣārūḵ)	ṣawārīḵ
حرص	to desire/ to want	ḥaraṣa
خرجت		form I
للانتخابات	plural of اِنْتِخَاب (intiḵāb)	intiḵābāt
نجيب	noble/ illustrious/ distinguished/ whiz	najīb
لسان	tongue	lisān
الجزر	carrots	jazara
أستراليا	Australia (a country consisting of a main island/ the island of…	ʔusturāliyā
الجارية
البث	to transmit/ to pass to the public	baṯṯa
واي
بالقول	verbal noun of قَالَ (qāla) (form I)	qawl
الانتاج
البلدة	town/ city	balda
والشراء	verbal noun of شَرَى (šarā) (form I)	širāʔ
وتقدم	to precede	taqaddama
الأربعة	four	ʔarbaʕa
عقده
الآسيوية
قابلة	midwife/ accoucheuse/ obstetrician	qābila
نستطيع		form X
يونايتد
أخصائي	expert/ specialist	ʔaḵiṣṣāʔiyy
كثرة	verbal noun of كَثُرَ (kaṯura) (form I)	kaṯra or kiṯra
الطائفية
تأجيل
زيارتك
ألم	to be in pain/ to ache	ʔalima
وقيل		qīla
ربه
المادية	materialism (concern over material possessions)	māddiyya
السياسيين
السبع	masculine of سَبْعَة (sabʕa/ “seven”)	sabʕ
يكونوا		yakūnū
المحيطة
موبايل
وعمل	to work/ perform	ʕamila
الاتفاقية	treaty/ convention/ agreement	ittifāqiyya
الاستثمارية
وعرض	to appear	ʕaraḍa
الخام	raw/ crude/ unprocessed	ḵām
آنذاك	then/ at that time	ʔānaḏāka
سكنية
الايطالي
الإجتماعي
الاستشارات
ووفقا
بغير	without	bi-ḡayri
وإلا	except (for)/ save (for)/ but (for)/ barring/ other than/ besides/…	ʔillā
اسماعيل
العينين
أحدا
