何	what
作法	manner/ etiquette/ propriety
アルトン
世論	public opinion
当日	on the day (on which something takes place)
アクセル	accelerator pedal/ throttle (the lever or pedal that controls this…
乗務	service as crew on a vehicle
白紙	white paper
富豪	wealthy person
近隣	the vicinity
あのう	excuse me (to draw attention)
大隊	a battalion
選び	to select/ to choose
赤外	infrared
農夫	peasant/ plowman
時空	time and space
腹部	abdomen
訂正	correction/ revision
アニ
手間取
子宮	womb/ uterus
肉食	meat eating/ flesh eating
公務	public duty/ official business
日暮れ	sunset/ sundown/ dusk/ evening/ nightfall
停戦	armistice (formal agreement to end fighting)
中退	dropping out of school
闘技	competition/ contest
翌朝	the next morning
大蛇	a large snake
飛び回
用途	usage/ use
創設	creation/ foundation
手荒
決めつけ
ウィリアムス	Williams
味見	tasting
走行	moving/ especially on a wheeled vehicle such as a car/ travelling
整列
無欲
平静	calm/ serene/ tranquil/ peaceful
参謀	a staff/ an officer
由来	originally
取り返せ	recover/ get back
錯乱	chaos/ disorder
胎児	pre-born baby
中庭	courtyard/ quadrangle/ middle court
内務	domestic affairs/ one country's home affairs
私生	illegitimacy (being born out of wedlock)
あーあ	what a shame
通告	notification
有難
導入	introduction (e.g. of a new idea)
一帯	region/ zone
秒間
持続	continuation/ sustainment
積り	plan to/ intend to/ purpose of/ plan/ intention
多大	serious/ immense/ great
賃金	wages
気高
引き込
義母	a mother by moral principles
見殺し	standing by and watching as someone dies/ without offering help
決	to burst
不味
スタジアム	stadium
イリア
青春	youth/ adolescence
アマチュア	amateur
平方	the second power of a number etc./ square
方程
小麦	wheat
側近	close aide
中世	Middle Ages
アタマ
名づけ
大腿	thigh
一貫	integration/ consistency with regard to policy/ manner/ approach/ etc.
乙女	a young woman/ adult but unmarried: a maiden
運搬	transportation/ carrying
取り込み	take in/ bring in
スコア	score (tally of points)
浜	beach/ seashore
中西	a surname
抗争	fighting/ resistance/ antagonism
下宿	boarding
置き	to put/ place/ set
通称	general name/ popular name
アニキ
察し	to guess/ to presume/ to sense
実践	practice
石鹸	soap
金銭	money
気流	airflow/ air current
先住	prior residence/ earlier residence
申し分	a complaint
悲観	a compassionate world view that motivates individuals to help and…
歓声	cheer/ cry of joy
草原	grassland/ meadow
孝則
宣戦	declaring war
セルビア	Serbia (a country on the Balkan Peninsula in Southeastern Europe)
運び屋	smuggler/ trafficker
風景	scenery/ landscape/ view
伯母	aunt (younger than one’s parent)
自衛	self-defense
架空	fictitious
見本	sample/ example
アルド
多量	abundant/ in large amounts/ in large quantities
絞め殺
辞任	resignation
重量	weight
手際	skill/ efficiency
不平	discontent/ complaint/ dissatisfaction
著名	noted/ celebrated
調合	mixing/ blending
ミリアド
飼育	breeding/ raising (animals)
ルーマニア	Romania (a country in Southeastern Europe)
近辺	vicinity (neighbourhood/ or the nearby region)
戦力	military power
勃起	erection of the penis
原料	raw material
アラゴルン
大至急
年頃	apparent age
挿入	insertion
着地	landing
ギリシア	alternative form of ギリシャ (Girisha): Greece (a country in…
エミリア
原理	Principle.
接種	vaccination
兵力	military force/ might of a military
編	to compile
代弁	speaking on behalf of someone else
アーティ
足取り	gait
両側	both sides
大工	carpenter
主演	playing the leading role
アメ
直樹	a male given name
シアーシャ
後援	auspices/ backing/ patronage
ガルシア	a transliteration of the Spanish surname García
生成	generation/ formation
お手上げ	throwing up one's hands: giving up/ quitting
疑念	doubt
アマゾン	a river in South America/ that flows through Brazil for about 4000…
受け取り	to receive
関口	a surname
売り物	something that is sold
竹下	a surname
守衛	guard/ gatekeeper
通気	ventilation/ airflow
過失	error/ fault
冷戦	the Cold War
同伴	accompaniment
覆面	mask (cover for the face)
中年	middle age
路線	a traffic route/ a train line
新米	new rice
引き取り	take back/ collect/ claim
見知り	seeing and knowing [a person]/ knowing someone by sight
再婚	remarriage
ファイアウォール	firewall
上達	improvement in academic ability/ the arts/ etc.
送り届け
足手
大口
比	a ratio
満員	full house/ filled to capacity (of a train/ hotel/ theater/ etc.)
異論	objection/ differing opinion
急激	sudden/ sharp/ precipitous/ abrupt
特技	specialty/ special skill
生意気	cheeky/ impertinent/ fresh/ wise
中村	a surname
大喜び	great joy/ delight
組み込
急げ	to hurry/ to hasten/ to rush/ in order to get something done or to…
精通	mastery/ proficiency/ expertise
航行	sailing
精製	quality production
縛り付け
感触	touch/ feel (of something)/ texture
発売	sale/ the selling of something
室内	inside a room/ indoor
奥深
捏造	fabrication/ fake/ staged
半ば	half
引き揚げ
責務	responsibility/ duty/ obligation
取り分
起源	origin/ derivation/ genesis
通貨	currency
大晦日	the last day of the year/ New Year's Eve
鈴木	鈴木/ スズキ: a surname: the 2nd most common surname in Japan.
改め	to modify/ to revise/ classical form of 改(あらた)める (aratameru)
ブレア
アヘン	opium
アドバイザー	an advisor
活用	application (the use of a thing)
自制	temperance/ restraint
下降	descent/ fall
対話	dialogue/ conversation
進学	entering the next level of school/ often university
身動き	moving about
飛び立
親類	relative/ kin
電線	electrical wire
言わ	to say/ to tell somebody
即死	instant death
味わえ	savor/ relish/ enjoy the taste of
義兄	brother-in-law (spouse's elder brother or elder sister's husband)
制裁	punishment/ sanction
特異	unique
失調	lack of balance or regular condition
仙崎
項目	item
車内	inside of a car (railcar/ vehicle/ etc.)
国立	national/ nationally-owned (park/ university/ etc.)
アーデン
東側	east side
あらあら	alternative form of あら
予告	advance notice
病原体	pathogen
域	range
経理	accounting
肯定	affirmation
子育て	rearing children
言動	words and actions
特性	characteristic/ peculiarity/ property
対価	compensation/ equivalent value
速報	breaking news
末期	final period/ terminal period/ last stage.
心強
偽者	impostor
機内	within an aircraft
常連	regular customer
賭博	gambling
再発	recurrence
アーク	an arc of electricity
横浜	Yokohama (the capital city of Kanagawa Prefecture/ Japan)
聞き出せ	to start listening
店長	manager (of a shop)
呼び寄せ	to call/ to summon (someone to come to where one is)
アゴ
特集	a special program/ a special edition
基盤	base/ foundation/ basis
リビア	Libya (a country in North Africa)
津波	a tsunami/ a tidal wave
人相	looks/ physiognomy/ countenance
気難し
モーフィアス
船内
安静	quiet/ peaceful
アミン	amine
清算	settlement of accounts
前列
供	companion
点滴	drop/ raindrop
リアクター
海水	seawater
野	an area/ field
一変	complete change
薫子	a female given name
周年	anniversary
たどり着け
海上	on the sea/ maritime/ marine
更生	the process of restoring one to be a productive member of society/…
支障	trouble/ kink/ interference/ hindrance/ disruption
資質	one's innate disposition/ nature/ character/ talents/ aptitude/…
気圧	atmospheric pressure
誇張	exaggeration
アレクサンダー	Alexander
立ち去れ	to leave/ to depart
発つ	to depart/ such as on a train
獣医	clipping of 獣医師 (“veterinarian”)
遺骨	remains of a dead person/ especially cremated remains
好機	opportunity
音量	sound volume
元素	element/ chemical element
予選	preliminary round
殺意	urge to kill/ intent to murder
召使	servant
仕入れ	lay in/ stock
総監
圏外	out of range/ outside of a range/ out of a circle
介護	nursing care
見習い	follow someone's example
か所	a place/ a spot
洗面	washing one's face
引き留め	to detain/ to check/ to retain
達者	fluent/ proficient/ skilled
変動	change/ fluctuation
立て直
食べれ	to eat
助力	help/ assistance/ helping hand
主だ
小学	elementary school (grades 1-6)
人的
強調	emphasis
あわて	to panic/ to lose one's presence of mind
進捗	progress
学費	tuition/ school expenses
ユリア
トビアス
合唱	singing in chorus
引き出せ	take out/ withdraw
補償	compensation
時折	sometimes
証書	certificate (a document evidencing ownership or debt)
学年	year in school/ grade in school
茶番	one who serves tea to guests/ a server
留学	studying abroad
引き返せ	to turn back/ to return
アメフト	syllabic abbreviation of アメリカンフットボール (Amerikan futtobōru/…
自滅	self-destruction/ self-defeat
新入	newly arrived
空飛
切手	a stamp/ a substitute for postage stuck to the postcard
アメリー
講演	lecture
異動	a personnel change
口笛	whistle with one's mouth
競馬	horse racing
超越	transcendence
フィアンセ	synonym of 婚約者 (kon'yakusha/ “fiancé/ fiancée”)
話せよ
王都	royal capital
引き入れ
アスペン
初耳	the first time one has heard of something/ news to ...
不断	without end/ continuous/ never-ending
運び	to convey/ transport/ move
天塩	Teshio Province/ an old province of Japan
起き上が
ダイアモンド	alternative form of ダイヤモンド (daiyamondo/ “diamond”)
アジト	hideout
白血
アーティスト	artist (person who creates art)
アントニオ	a transliteration of the Italian male given name Antonio
工具	tools (especially for craftsmanship or carpentry)
伝	summon
口止め	keeping someone quiet/ preventing from speaking/ muzzling
大当たり	big hit/ great success
失神	faint
マニア	fervent enthusiast of something/ geek/ nerd/ maniac
思い知
回数	number of times
教区	diocese
店主	shopkeeper/ storekeeper/ shopowner
見合
粘土	clay
需要	need/ requirement
用紙	form (document to be filled)
不通	interruption/ stoppage/ cessation
外壁	outer wall
空手	karate
リアム
あのー	excuse me (to draw attention)
表明	expression
出直
大義
年度	a year/ for administrative/ academic/ business/ or accounting…
コーディア
貸金庫	safe-deposit box
産物	product
准将	a brigadier
導師
自主	autonomy/ independence
平行	going side by side
っ放し	mistakenly leaving something in a certain state
軍用	for military use
審理	trial in court
筋書き	plot/ storyline/ scenario
言いつけ	instructions/ orders/ command
形状	shape
装着	mounting/ equipping/ wearing
新規	new
拓馬	a male given name
アイラ
休養	rest/ time off from work
算数	arithmetic/ calculation
弁解	excuse/ explanation/ justification
募金	fundraising/ collection of donation
オリヴィア
面識	acquaintance
害者
泣き言	whining/ complaining about one's own hardships
アーカイブ	archive
長所	strong point/ merit/ advantage
真上	the area directly above
掘り起こ
小夜子	a female given name
白鳥	a swan (waterfowl of the genus Cygnus)
理事	director
死傷	casualties/ injuries and deaths
取り付
行き着
義足	artificial leg
アレス	Ares
調節	regulation/ adjustment
氷河	a glacier
半神	demigod
目視	seeing
選考	screening of candidates
アラー	alternative form of アッラーフ (Arrāfu/ “Allah”)
小遣い	clipping of 小遣い銭: pocket money
戦隊	squadron
求女
無名	namelessness/ unnamedness/ lack of name
回り道	detour/ taking the long way
以後	from now on
チェックアウト	checkout
物的	material/ physical
上位	a higher rank/ an upper rank
一団	a (single) body/ gang/ group
後ほど	later
本山	head temple
淫売	prostitution/ prostitute
アポ	appointment
地平
取り出せ	to take out/ extract
アベンジャーズ
動き回
付き添い	chaperon
縁起	an omen
投げつけ
造船	shipbuilding
治ま
素質	the makings/ personal qualities/ talents/ tendencies
あした
切り開
解任	dismissal (deprivation of office)
非道	unjust/ inhuman
別居	living separately
大して
木馬	wooden horse/ rocking horse
アンサリード
方式	method
長谷川	Hase River (rivers and tributaries in Japan):
人食い	cannibalism (of people)
東洋	the East/ Asia/ especially East Asia/ as opposed to the West
直線	straight line
毎度	always/ constantly
ルシアン
本格	basic rules/ fundamental tenets
御座	throne
名人	a master/ an expert
時差	time difference
水面	surface of the water
後回し	postponing/ delaying/ putting off
行事	function/ event
森口	a surname
アタック	attack
宅配	home delivery
玩具	a toy/ plaything
全速
人魚	a merperson
明後日	the day after tomorrow
対等	equal
個別	being individual/ separate
補足	supplement
追及	investigation
だあ
屋内	indoor
石版	a lithograph
万能	all-powerful/ almighty/ omnipotent
無さ
表れ
略	plan/ strategy
迷宮	maze/ labyrinth
群が
祖父母	grandparents
補充	supplementation
美穂	a female given name
モアナ
医務	medical affairs
株主	stockholder/ shareholder
健在	still alive and in good health/ alive and kicking
木戸	wooden gate
変わり者	weird / strange person
子豚	piglet
脳波	brainwaves
食卓	dining table
病状	symptom (of an illness)/ condition of a patient
先代	the previous head of a family
先行	the first/ the vanguard/ the state of going out in front
アァ
推論	inference/ deduction
生け捕り	to capture/ catch alive/ to take prisoner
高齢	advanced age/ old age
宴会	banquet
半身	half of the body
意向	one's desires or intentions/ thoughts/ intention/ inclination
内面	the inside
打開	a breakthrough
言い争い	altercate/ quarrel/ squabble
充実	fullness/ substantiality
元カノ	ex-girlfriend
実質	substance/ essence
発令	official announcement
容体	status of a sick person
立ち入
引き渡せ	hand over/ turn over (a criminal to the police)/ deliver up
金儲け	money-making
到来	arrival
生じ	come about/ occur/ arise
前夜	eve/ the night before
勿体	air of importance
ノックアウト	knockout
観衆	spectators
容認	acceptance/ permission/ toleration
局員
あばずれ	mean woman
王殺し	regicide
赤子	synonym of あかご (akago/ “baby”)
加工	manufacturing
断念	giving up/ abandonment/ resignation
取り囲
野望	ambition
自発	spontaneous/ voluntary act
私有	private ownership
アバズレ
あせ	fade/ discolor
誘発	inducing
医薬	medicine
シアン	cyan
安泰	secure/ calm
噛み付
富樫	a surname
郎	son
乗り切れ	to weather (e.g. a storm/ rough seas)
同等	equal/ equivalent
放り投げ	to fling/ to hurl (to throw roughly)
銃口	muzzle (open end of a gun)
元夫	ex-husband
症候	medical symptoms
転職	job change/ a change of career
展望	view/ a vista
丈夫	durable/ indestructible/ unbreakable/ unwreckable
中味	alternative spelling of 中身
依子	a female given name
召使い	servant
中途	halfway/ midway
見世物	act/ show
空調	air conditioning
上がり	to rise/ to ascend/ to go up
生き抜
闘争	a struggle
立ち会
千尋	one thousand fathoms
アイヴォ
芝山
日中	Japan and China
口外	disclosure/ revelation of a secret
山分け
電圧	voltage
独りぼっち	loneliness/ solitude
グルジア	synonym of ジョージア: Georgia (a transcontinental country in the…
オア	or
本社	company
母校	alma mater
多額	large (amount of money)
素	cause/ origin
中枢	center (central location)/ hub/ mainstay (important part)/ key…
創作	creation (especially of a literary or otherwise artistic work)
アンブレラ
相対	confrontation/ head-to-head
アイロン	clothes iron
あさって
氏名	a full name
丁重	courteous/ respectful/ polite
強情	stubborn
上回
空白	blank/ empty
客室	parlor/ guest room/ a room for entertaining guests
ファイアー
観点	a viewpoint/ a point of view
アルバレス
挙げろ
一服	a puff/ a dose/ a cup of tea
引き戻
汚名	stigma/ infamy
目前	right before one's eyes
常習
ダミアン
高所	a high place
やり手	doer/ performer
流儀	manner/ way/ mode/ style
農園	plantation
補強	supplement/ reinforcement/ strengthening
解き	to untie
人造	artificial/ man-made/ synthetic
外観	outward appearance/ façade
読み上げ
抜き取
時限	period (division of school day) (usually with ordinal markers…
不可	being bad or unacceptable
アーチ	arch (architectural element)
立ち直れ	get back on one's feet/ recover oneself/ regain one's footing/…
肥料	fertilizer
急用	urgent business/ urgent matter
現役	active duty
一度	once/ one time
洗車	washing an automobile or train car
言い張
ディアス
呼び起こ
地表	earth's surface
結社	association/ society (group of people with a common goal)
金色	gold colour
受け付け	receipt/ reception/ acceptance
オフェリア
私的	personal/ private
和	peace/ harmony/ tranquillity/ serenity.
着手	start/ initiation/ beginning
体格	body shape (of a person)
彗星	comet
沼地	bog/ marshland/ swampland
至近	very nearby/ close
自	self/ oneself
多様	diverse/ various
発覚	detection/ disclosure/ exposure/ revelation
小包	parcel/ package
連れ込
乗馬	riding a horse
書面	written document/ writing
田宮
気象	weather/ meteorological phenomenon
変質	change in nature (性質)
ダイア	clipping of ダイアモンド (daiamondo/ “diamond”)/ alternative form of ダイヤ…
行政	government/ administration
コリアー
馬身
縮小	minification/ condensation
方位	direction
落着	settlement
気づき
並外れ	be extraordinary
作者	the creator of a work/ such as an author/ writer/ poet/ or artist
認定	determination/ identification
照れ	to shine
消灯	putting out the light(s)/ turning off the light(s)
蒲生	Gamō/ a family name/ notably of Gamō Ujisato/ a famous daimyō in…
聖霊	the Holy Spirit/ the Holy Ghost
聴聞	hearing (a proceeding at which discussions are heard)
目覚まし	waking/ waking up (either waking oneself/ or waking someone else)
未知子
技能	A technical skill that has been gained through study or practice/…
名乗り	to give one’s name (as)/ to call oneself (name/ etc.)
入居	moving into (house)
保有	retention/ possession
結束	bundling and binding together
砂浜	beach
サンティアゴ	Santiago
傍観	looking on/ spectating passively
頭上	overhead/ above one's head
点灯	lighting a lamp
漂流	drifting
ババア	old woman/ hag
奏者	musical performer
場違い	inappropriate/ out of place
入れ替わ
新種	new variety
ソマリア	Somalia (a country in East Africa/ in the Horn of Africa)
アグネス
民兵	a militia (army of trained civilians called upon in time of need)
マレーシア	Malaysia (a country in Southeast Asia)
フェリシア
満点	a perfect score/ full marks
アニス	anise/ Pimpinella anisum
着席	sitting down
バリア	barrier
取り押さえ
ビア
南極	ellipsis of 南極圏: south polar region
一平	a male given name
規範	norm/ standard
知り	to know/ be aware of
ディアナ	alternative form of ディアーナ (Diāna/ “Diana”) (Roman goddess)
立た	to stand/ to stand up/ to rise
用だ
心変わり	a change of mind/ a change of heart
戦時	wartime/ times of war
高値
予報	forecast/ prediction
焼き殺
自棄	self-abandonment/ loss of interest in life/ despair
間隔	interval/ space (spacial distance or time interval between two or…
悪役	villain (evil character)
受取	receipt/ the acceptance of something
刃物	blade/ edged tool/ often a knife
毛深
解説	explanation
記号	symbol/ mark
褒め言葉	words of praise
小物	小物: small articles/ gadget
残高	balance/ remaining amount of money
戸惑
手ぶら	empty-handed
一環	link in a series of events or part of a plan
末次	a surname
前提	prerequisite
退場	leaving/ withdrawal
クエストリア
家事	housework
跡形	trace
急襲	a surprise attack
アミラ
応募	written request for employment etc./ application
究明	analysis/ investigation
地理	geography
同い年	being born in the same year/ or someone born in the same year
出馬	riding out on a horse/ often to a battlefield
果実	a fruit/ nut/ berry
始	to begin/ to start
家主	owner of a house
代え	to substitute/ to use in place of/ to replace with/ to replace…
無垢	spiritually pure/ free from desire or aversion
クアンティコ
開示	disclosure
アップグレード	upgrade (an improved component or replacement item)
役だ
戸棚	cupboard
上下	ascending and descending/ ascent and descent
胸部	chest (thorax)
アラビア	Arabia (a peninsula of West Asia between the Red Sea and the…
無茶苦茶	alternative form of むちゃ
船乗り	sailor/ seaman
アーネスト
行く	to go/ to come to one's place
他所	another place/ somewhere else/ elsewhere
密度	density
点数	score/ grade/ mark
あざ
尽力	exertion
アーリーズ
アンカー	anchor (a tool used to moor a vessel)
啓示	revelation
持ちかけ
一人暮らし	living by oneself/ living alone
異様	strange/ peculiar/ outlandish
隊列	fire/ rank
伝道	evangelism
信じ込
アマデウ
自閉	social withdrawal
外人	outsider/ an estranged/ unfamiliar person
表向き	the face of things/ outward appearance
アンディー
作り直
話さ	to talk (about something)/ to speak (on a subject)/ to converse
気がかり	concern/ worry/ anxiety
混同	confusion/ mixing up
復習	review
ベジタリアン	vegetarian
アタシ
実用	practical use/ utility
楽譜	written music/ music manuscript
新任	newly appointed/ newly elected/ incoming/ inaugural
電球	incandescent light bulb
牽引	traction/ towage
朗報	good news
引っ掻
立体	something that occupies three-dimensional space (is not…
淳太
付き合え	to go out with/ to be dating
持ちだ
床屋	barbershop/ barber
吸い取
片足	one foot
手書き	skilled penman
描写	description/ depiction/ portrayal
肛門	anus
メチルアミン
発車	departure (of a vehicle)
投薬	to prescribe medicines
変革	revolution/ change/ transformation
江上
苦境	quagmire/ difficult situation/ dilemma/ difficulties
言いなり	doing as one is told
白髪	white hair/ grey hair
話し合え	discuss
有無	existence/ presence or absence
差し金
評論	criticism/ comment
ジョアンナ
手分け
性愛	eros
交配
全土	the whole country
ミアリーン
インディア
さあさあ
少量	of a small amount/ small quantity
自問	asking oneself
手違い	mistake (in one's actions)
別件	different matter
日程	schedule/ the day's schedule
飼い主	pet owner/ master
公判	public hearing/ trial
内輪	inner circle of people/ or family
手ごわ
良木
気合	Fighting spirit/ spirit/ motivation.
所為	one's deed
全米
絵本	picture book
運輸	transportation
違和	disorder
偉業	great venture or project/ enterprise
逃げ場	refuge/ a place to run away to
武力	military force/ armed might/ the sword
保健	health care/ sanitation/ hygiene
崇高	noble/ lofty/ sublime/ spiritual
生息	habitation
ココア	hot chocolate
アラバマ	Alabama (a state of the United States)
新郎	bridegroom (man about to be married)
消火	putting out a fire/ extinguishing a fire/ fire fighting
花本
改ざん	alteration (of a document)/ falsification (of records)
果たして	accomplish/ perform/ fulfill
即興	improvisation/ being off the cuff
有用	useful
独創	original creation
アクバリ
脱線	derailment
裁量	judgement/ discretion/ admeasurement
銃殺	shooting to death/ execution by firing squad
手洗い	hand washing/ washing one's hands
シャイア
総長	a chief of a whole system
物騒	insecure/ turbulent
ファイア
アミダラ
新車	a new car
あばよ	a casual parting expression/ tata/ cheerio/ so long
アックス	axe (tool used for chopping wood)
通し	to let through/ to let pass
適正	reasonable/ proper
速力	speed
スメア
公然	openly/ overtly/ out in public/ publicly/ undisguised
重圧	crushing pressure
アイアンマン
エレノア
レズビアン	lesbian (female homosexual)
備品	equipment
江島
チアリーダー	cheerleader (person (usually female) who encourages applause)
地味	plain/ simple
売上	sales
アリーナ	arena (an enclosed area/ often outdoor)
静止	stillness/ being still/ calm/ or motionless
命乞い	the act of begging for mercy
自我	self/ oneself
可愛らし
年少	young
マニキュア	manicure
機構	mechanism - mechanical structure/ and its function
水晶	crystal
除隊	discharge from the military
木島
一人一人	each person
ウイリアム
言い寄
飛び乗
上映	a film screening
水飲
抗体	antibody
物凄
商談	business talk/ dealing/ negotiation
前半	first half
バンパイア	alternative form of ヴァンパイア
ディア
自国	one's own country
出来上が
優勢	superior
決行	execution
引っ掛か
増大	increase (increased amount)/ enlargement
アガサ
養育	upbringing
別物	different/another thing/matter
着飾
太鼓	a drum
あいだ	a space
自慰	self-consolation/ making oneself feel better
実証	actual proof
四方	area
実業	industry/ business
心構え	mental attitude
何歳	what age/ how old
流星	synonym of 流星 (ryūsei/ “meteor/ shooting star/ falling star”)
特	ox/ bull
後頭	an occiput
水銀	mercury/ quicksilver
複合	combined/ composition
進出	a step forward
高額	high-priced/ expensive
聖母	Our Lady
アルメニア	Armenia (a country in the South Caucasus region of Asia/ sometimes…
逃げ回
アース	(US) ground/ (UK) earth/ a connection electrically to the ground
下座	lower seat/ a seat at the foot of the table
人参	a carrot (Daucus carota ssp. sativus)
強度	strength
即時	at once/ immediately
寺島	a surname
溶接	a weld/ welding
分け合
一筋	one long thin item
超人	superman
悪趣味	bad taste
正規	regular
高慢	arrogance/ conceit
性別	sex/ gender
あんの
口調	manner of speaking/ tone of voice
公認	official recognition
妻子	wife and children
名詞	noun
血球	a blood cell
転移	transition
青色	blue (color)
分散	dispersion
庶子	child of a concubine
釜山	Busan (a city in South Korea)
波止場	wharf/ pier
左利き	the ability to use a left hand better than a right hand/…
苛立
店舗	shop
下痢	diarrhea
蒸発	evaporation
入れ替え	substitute/ switch/ change places
巻き上げ	to blow up/ to kick up
アイドル	idol (Asian popular performer)
命名	naming/ christening
殺し合い
強欲	greedy/ avaricious
左足
燃え上が
議題	agenda
下っ端	underling
積もり	to pile up/ to accumulate
引き下が
心中	lovers' suicide/ double suicide
甥っ子	one's own nephew
遊園	playground (for children)/ park
通達	notice
食べろ	to eat
従事	engagement in something
赴任	taking up a new post
直撃	direct hit
スペア	spare
批評	criticism (evaluation of craftsmanship/ art/ etc.)/ critique
あえ	to meet with/ see/ meet again or for the first time
探し回
講師	lecturer
男前	man's appearance/ man's looks
航路	sea route/ course
因果	fateful/ unlucky
前任	one's former post or appointment
山積み	piling up (mountain-high)
あぶな
木星	Jupiter (planet)
布団	a round cushion made of woven bulrush leaves/ used for zazen…
来場	attendance
深め	to deepen/ intensify
青空	the blue sky/ the clear sky
知道
復興	reconstruction/ restoration
同棲	living together (especially as an unmarried couple)/ cohabitation
アデライン
右足
案外	unexpectedly
雑用	chores/ odd jobs/ miscellaneous tasks
公女	the daughter of a duke in China or Vietnam/ compare 王女 (daughter…
待ち受け	await/ look forward to
少	a little
金吾
セリア
教養	cultivation/ refinement/ education
美徳	virtue
関西	Kansai (a traditional region in central Japan/ that includes the…
女医	a female doctor
読み取
屋台	a portable stand built as a small house that is used during festivals
砲火	gunfire/ artillery fire
コーデリア
畜生め
城門	castle gate
金魚	a goldfish
狂王
領地	territory
刺殺	stabbing to death
遺品	thing left behind by a deceased person
マリアンヌ
配信	transmission/ distribution/ stream
超常	exceeding the normal state/ the paranormal
山羊	a goat (animal)
横柄	arrogant
完治	complete recovery from an illness
置き場	place to put something
過大	excessive/ too much
品物	goods/ merchandise/ article
得策	good/ profitable plan
立ち上がれ	to stand up/ to get up
空襲	air raid
全焼	complete destruction by fire
伝書
給水	the supplying of water/ especially drinking water
力学	mechanics (a branch of physics)
商業	commerce/ business/ trade
体型	figure/ type of build (body)
染色	staining/ dyeing
設け	set up a business/ system/ institution/ committee/ account/ etc.
阿華
由	cause/ reason
遠回り	detour
野営	camp
帳消し	writing off (a debt)/ cancellation/ balancing the books
アーリア
言い換え	say in other words/ rephrase
アピール	an appeal for something
色男	lady's man/ lady-killer/ handsome man
アーメド
人里	a place inhabited by people
取り消し	annul/ nullify/ cancel/ revoke/ undo
庭園	garden
アーッ
直し	to do one's duty/ be on duty
付着	adhesion/ agglutination
アナウンス	an announcement (as via a television or radio broadcast/ or via a…
短期	short term
行列	a line or queue/ a procession in single file
アレクセイ
境遇	situation/ circumstances
アイビス
合致	matching perfectly/ accordance/ agreement
真っ白	pure white/ snow-white/ perfectly white
火神	a god of fire/ another name for Kagutsuchi
保全	maintenance/ conservation
月面	the lunar surface/ the surface of the moon
入れ歯	synonym of 義歯 (gishi/ “false teeth”)
無言	silence/ not speaking
系列	a series/ sequence
配列	arrangement/ alignment/ placement
悪用	abuse/ misuse of something
無邪気	innocent
器官	the largest parts of an organism/ organ
知れんが
積み上げ	to pile up/ to accumulate
殺し合
再考	reconsideration
看病	nursing for a patient/ taking care of a patient
アダール
提携	coalition/ partnership/ association
目線	line of sight/ gaze
夜空	night sky
潮時	time of high tide
似非	fake/ false
多忙	busy
統率	command/ lead
反映	reflection
子守り
木箱	wooden box
アッカーマン
二番	number two
安ら
見送り	to see off (accompany/ escort when departing)
アイコン	an icon/ a small image indicating a user element
アドルフ	a transliteration of the German male given name Adolf or Adolph
事柄	matter/ thing
断定	decision
野原	land area/ field (land free of woodland/ cities/ and towns)
引っ張り	pull/ yank
上部	upper part
個体	an individual living thing
英	English
主題	subject/ theme/ main topic
張り	like (a person)
本屋	bookstore/ bookseller
著者	author
痛み止め	painkiller
扇動	incitement/ sedition/ agitation/ abetting/ demagoguery
下僕	synonym of 下男 (genan/ “manservant”)
子分	an individual under the control of another person/ a subordinate/…
小木曽
三十	thirty
買い取
年下	younger-ness/ juniority/ the state of being younger than others
知る	to know/ be aware of
緩和	relaxation/ lessening in amount/ alleviation
手早
流し	to make or let (a fluid) flow
自暴
アルバカーキ	Albuquerque
ビアンカ
口先	lips or mouth
同窓	schoolmate/ graduates of the same school
弱者	a weakling
着艦
撃ち合い
あらすじ
下心	ulterior motive (alternative or hidden reason)
強固	firm/ strong
競	competition
瞬時	an instant/ a very short span of time/ the wink of an eye
道連れ	taking something/someone along with oneself
陸上	ashore/ on land
検挙	arrest
段取り	progression of a story
吉田	a surname
密接	being physically close together
迎え入れ
信奉	belief/ faith
病欠	absence due to illness
水準	the sufficient level/ level/ standard
競走	race
付け加え	to add
係り	to be done by/ to be the work of
物乞い	a beggar
協調	cooperation
あやま
脳内	intracerebral/ intracranial/ the inside of the head or brain
前払い	payment in advance
登校	attendance at school
呼び出せ	summon/ ask for
人影	a figure of a person
係わ
馬鹿馬鹿し
取りつ
給与	salary
変貌	transfiguration
鈍感	thickheaded/ insensitive/ dull/ thick-skinned
アラスト
部位	region/ site/ location/ position/ place
教員	teacher/ schoolteacher
題名	title
太古	ancient times
可哀相	pitiable/ pitiful/ poor/ pathetic
取り外
散開
年老い	to grow old
放免	release/ acquittal
星座	constellation
アトラス
築き上げ	build up
誇大	exaggeration
国会	parliament/ congress
入金	deposit
火力	heating power of a stove etc.
アーマー	Armagh (a county of Northern Ireland)
代われ	substitute/ be substituted for/ be substituted for a person/ take…
天文	astronomy
後尾
救護	rescue/ relief/ the act of rescuing sick or injured person with…
半日	half a day
モリアティ
比喩	simile/ metaphor/ allegory
遺跡	a place of historical or archaeological importance/ historic…
不屈	indomitable/ unyielding
通勤	commuting to work
噂話	gossip/ rumor
引き渡し	hand over/ turn over (a criminal to the police)/ deliver up
同調	same condition
不測	something unforeseen/ unexpected
他言
高等	higher/ advanced
希少	scarce/ rare
吉	good luck/ blessedness/ happiness
合同	union/ combination
ぶら下が
