de	of (expresses belonging)
tombes	to fall
saisi	to take hold of/ to grab
trouille	fear
poignardé	to stab/ to knife
ronnie
fiches	record
scanner	to scan (to create a digital copy of an image using a scanner)
document	document
colin	a rare male given name
atterrir	to land (a plane/ helicopter etc.)
rois	king
transforme	to transform
jill
échantillons	sample/ extract
serre	action of pressing something together/ result of this action
fichier	file (collection of papers)
répétition	repetition
gina
dentiste	dentist
fassiez	to do
occupes	to occupy/ to take up
plairait	to please/ to appeal to (usually translated into English as like…
plats	flat
accorde	to grant (something to someone)
formes	to form (generic sense)
machin	thingy/ thingamabob
christopher	a male given name
va-t-elle
déterminer	to determine/ establish
ouvriers	worker/ labourer (manual worker)/ workman
times
utilisant	to use/ to utilize
sexuels	sexual
célébrer	to celebrate
allen
oublions	to forget
montée	past participle of monter
philip
partirai	to share/ to share out/ to divide
civil	civil
got
pompes	pump
marc	pomace/ marc
promenade	walk/ stroll (walk for enjoyment)
entraîné	to coach/ to train
jetée	past participle of jeter
profit	profit/ benefit
tiennent	to have/ to hold
tache	blot/ stain or smear
franklin
emporte	to take
damon
absent	absent
désespéré	to despair (feel hopeless)
burke
prochaines	upcoming
création	creation
cinquième	fifth
levez-vous
ecoutez-moi
ellie
refuge	refuge
base-ball	baseball (ball game)
diamant	diamond (gem)
coke	coke (form of carbon)
antenne	a yard supporting a lateen sail.
satan	Satan
aperçu	glance/ glimpse
antoine	a male given name/ equivalent to English Anthony
réussite	success
guère	hardly/ barely/ (not) much
provoquer	to provoke/ bring on/ bring about
formule	formula
fleuve	a river that flows into an ocean or sea (a river that flows into…
recette	recipe
intime	intimate
cordes	rope (general)
plaie	open wound
réagir	to react/ respond
cuire	to cook
leslie	a female given name/ popular in the 1980s and the 1990s
bénédiction	blessing (some kind of divine or supernatural aid/ or reward)
saloperie	filth/ refuse/ scum
eve	alternative form of Ève
compassion	compassion/ pity
brooke
vaux	valley/ vale
obsédé	obsessed
duc	duke (nobleman)
curtis
bidon	can/ tin/ canister
divorcer	to divorce (to legally dissolve a marriage)
relever	to stand up (again)/ to stand/ to right (a vehicle etc.)
sobre	sober (teetotal)
deviné	to guess/ to work out/ figure out
occupés	busy
sonné	to sound
drogué	past participle of droguer
von
merveille	wonder/ marvel
flammes	flame
illusion	illusion
anneau	ring (circular shape)
sauvetage	rescue (act of rescuing someone or something)
comprennent	to understand/ comprehend
madison
gentiment	friendly/ kindly (in a friendly or kind manner)
lana
canal	canal
pleut	to rain
exposé	exposed
violet	purple (colour)
élevée	high/ aloft/ perched
gps	abbreviation of Grand Prix
april
rapproche	to reapproach/ to approach again
leonard
fatigue	tiredness
effrayer	to frighten/ to scare/ to affray
dormais	to sleep
benjamin	youngest child (in a family)
réfléchissez	to reflect
get
like	inflection of liker:
lave	lava
visiteurs	visitor
piéger	to trap (catch in a trap)/ to trick/ to set up
péter	to blow off/ fart
occuperai	to occupy/ to take up
pédé	fag/ poof/ queer (male homosexual)
désordre	disorder/ chaos
surnom	nickname (familiar/ invented given name)
palmer
drew
meg
range	inflection of ranger:
structure	structure
évasion	escape
dites-le
discret	discreet
petit-fils	grandson
délicat	delicate
appuyer	to press/ push
royale	royal
foutus	past participle of foutre
photographe	photographer
disputer	to dispute
supérieure	superior
raccroche	to hang again/ to hang back up
ère	era (all meanings)
normaux	normal (according to norms/ usual)
tuerait	to kill
officielle	official
seattle	Seattle (a city in Washington/ United States)
marines	navy
steak	steak (of meat or fish)
connaissons	to know (of)/ to be familiar with (a person/ place/ fact/ event)
drame	drama (piece of theatre)
are	an are
intense	intense
svp	please/ if you please
août	August
loups	wolf
verdict	verdict
échecs	failure
considéré	to consider (to look at)
pirates	pirate
assaut	assault
écrite	past participle of écrire
observe	inflection of observer:
survivants	survivor
étudie	to study
explosifs	explosive (with the capability to/ or likely to/ explode/…
tues	past participle of taire
poursuite	pursuit/ chase
recherché	past participle of rechercher
arrêtez-vous	to stop/ to come to a standstill/ to halt/ to stop from moving
singes	to ape
finisse	to finish/ end/ complete
téléphoné	to call/ to ring/ to telephone
sonnerie	ringing (sound of a bell)
synchro
çà	hither
mouche	fly (insect)
botter	to kick
watson
bingo	bingo
plaques	sheet/ plate (of metal)
clef	alternative spelling of clé (“key”)
nous-mêmes	ourselves
grillé	to toast (cook with a toaster)
peint	to paint
relecture	rereading (act of rereading)
décembre	December
montrez	to show
lindsay
douceur	softness/ tenderness
fiançailles	betrothal
impressionné	to impress/ to wow/ to awe
restés	past participle of rester
glisser	to slip/ to slide/ to skid
allions	to go
faîtes	top/ summit/ pinnacle
neal
ned
vider	to empty/ to empty out
fonctions	function (what something does or is used for)
michel	Michael/ the Archangel
capacités	skill (capacity to do something well)
touches	touch
reverra	to see again
anderson
fermés	past participle of fermer
bougies	candle
baignoire	bath (British)/ bathtub/ tub (especially US)
coincer	to wedge/ to jam/ to catch (e.g. one's finger in a door)
familiale	family/ familial
donnerais	to give/ to transfer the possession/holding of something to…
eux-mêmes	themselves
révélé	to reveal/ to give away
international	international
fun	fun
banques	bank
émotion	emotion
cocaïne	cocaine
conversations	conversation
turner
jetons	to throw
relais	a horse (or team of horses) that transported a rider or coach etc…
saleté	dirtiness/ mess
retenue	past participle of retenir
kurt
compétences	competence/ ability/ skill
plaisanterie	joke
longueur	length
thème	theme/ topic
magasins	shop/ store
lutter	to struggle/ to fight
viendront	to come (to move from one place to another that is nearer the speaker)
monseigneur	alternative letter-case form of monseigneur
mourant	to die/ to be dying
contenu	to contain
ennui	boredom/ lassitude
corée	Korea
référence	reference
cachette	hideaway/ hiding place
came	cam (part of engine)
insectes	insect
moustache	moustache/ mustache
certes	certainly/ surely/ decidedly/ definitely
britannique	British
laissez-la
poésie	poetry (literature composed in verse)
assassinat	assassination
lex
tabac	tobacco (any plant of the genus Nicotiana)
garantie	guarantee
couples	two partners in a romantic or sexual relationship
bacon	bacon
apres
freddy
hôte	guest (one who is received)
conclusion	conclusion
insisté	past participle of insister
personnels	personal
représentant	present participle of représenter
pull	pullover
défoncé	screwed up/ wasted/ stoned/ high (on drugs)
fraîche	fresh (recently produced/ unspoiled)
zach
donald
voile	veil
règne	to reign (of a monarch)
venaient	to come (to move from one place to another that is nearer the speaker)
misère	misery
future	feminine singular of futur
compliment	compliment (positive comment)
sou	sou (old French coin)
inverse	inverse/ the other way round
coller	to stick (together)/ to glue
grotte	cave (a large/ naturally occurring cavity formed underground)
élection	election
fouille	to search (place/ thing)
irak	Iraq (a country in West Asia in the Middle East)
deviendra	to become
vois-tu
tristesse	sadness
orchestre	orchestra/ band
suivent	to follow (literal sense)
analyses	analysis
allez-vous-en	to go away/ to leave
portail	portal (imposing entrance)
mines	mine (excavation or explosive)
montres	watch/ wristwatch
spéciales	special
possibilités	possibility
puni	past participle of punir
génétique	genetic
robes	dress/ frock
aimons	to love (usually of a person/ otherwise the meaning is closer to…
reconnaissez	to recognise (something or someone that one has encountered before)
soirées	evening
boissons	act of drinking/ consumption of a liquid
généralement	generally/ in general
planche	board
eut	to have/ to own/ to possess/ to get
chaînes	chain
sorcier	witch/ sorceress
lent	slow
pam	initialism of programme alimentaire mondial (“World Food…
vivons	to live
nuage	cloud
now
arrêtent	to stop/ to come to a standstill/ to halt/ to stop from moving
divorcé	to divorce (to legally dissolve a marriage)
payée	past participle of payer
louche	cross-eyed
occupera	to occupy/ to take up
maladies	plural of maladie
biscuits	biscuit (cookie)
connards	bastard/ jerk/ asshole
interrogé	to question/ interrogate
archer	archer (one who shoots an arrow from a bow or a bolt from a crossbow)
trahir	to betray
sous-vêtements	undergarment/ piece of underwear
duke
saurait	to know (something)
reporter	to carry something back to where it was
bazar	bazaar
mondes	world
antonio
mail	maul
boutons	button
caporal	corporal
dites-leur
développement	development
quarantaine	a number or group of or about forty
poursuit	to pursue/ to chase
juges	judge
tombés	past participle of tomber
plains	plane
nettoyé	to clean
beach	port where goods and passengers embark and debark
marchent	to walk
enfuie	to escape (somewhere)
enterprise
inspecteurs	inspector
demie	half
mcgee
graves	serious
alison
enfoirés	dickhead/ fuckhead/ shithead
acceptez	to accept
inhabituel	unusual/ uncustomary/ unhabitual
tickets	ticket (admission/ pass)
essaierai	to test/ to try on
votes	vote
détester	to hate/ to detest (to thoroughly dislike)
han
rebelles	rebellious
descente	descent (act of going down)
marchandise	merchandise
nicky
confus	confused (chaotic/ jumbled or muddled)
possibles	possible
shaw
infirmerie	infirmary
savon	soap
terreur	terror
innocence	innocence
vols	flight
virginie	Virginia (a state of the United States)
janvier	January
cheville	ankle
experts	expert
puissiez	can/ to be able to
ais	board/ plank
incroyablement	unbelievably (all meanings)
plomb	lead (metal)
serions	to be
réparé	to repair/ fix/ mend
piper	to pipe (a bagpipe)
harvard
galerie	gallery
cristal	crystal
temporaire	temporary
insensé	insane/ crazy
cauchemars	nightmare
mettait	to put/ to place
prendrait	to take
décharge	discharge
permets	to permit/ to allow (to grant permission or access)
spécialement	especially/ specially
prêté	to lend
prenant	to take
épuisé	to dry up
benny
blanches	minim/ half note
gravité	to orbit/ gravitate
attacher	to affix/ bind/ tie something to something else/ especially with rope
taupe	mole (burrowing mammal)
centaine	a hundred or so/ about a hundred
cambriolage	burglary/ robbery
manquent	to lack/ to be lacking in
bétail	livestock
catholique	Catholic
sacrifier	to sacrifice (all meanings)
salue	to greet
e-mail	email
naomi
arts	art
inspiration	inspiration (instance of breathing in)
casse-toi	second-person singular imperative of se casser
majorité	majority
blair	nose: conk/ hooter/ schnozzle
malheureuse	unhappy/ miserable/ poor
mel
coco	Fruit of the coconut palm/ also called noix de coco
jazz	jazz (music style)
kennedy
surprendre	to surprise
noyer	walnut (tree)
surprises	surprise (something unexpected)
peut-etre
relevé	past participle of relever
principes	principle
jacques	a male given name/ the French equivalent of James and Jacob/ and…
moquer	to mock
rituel	ritual
biologique	biological
énormes	enormous/ huge
tordu	to twist/ to bend
concept	concept
extra	extra/ additional
nettoyage	cleaning
missiles	missile
syndicat	syndicship
bailey
circuit	circuit
tournoi	tournament
dénoncer	to denounce
hope
éternel	eternal (ever-lasting)
graham
laisserais	to leave/ to leave behind
buck
bond	jump/ bound/ leap
éternelle	eternal (ever-lasting)
déesse	a god/ male divinity
fée	fairy/ fay
balancé	to swing (to do a reciprocating movement)
fameux	recognised/ well-known/ famous
ci	alternative form of ici (“here”)
sirène	mermaid/ siren
pat	stalemate
dérangé	to bother/ to disrupt
jalousie	jealousy
carmen	a female given name from Spanish
dépêcher	to send/ dispatch (urgently)
rassembler	to assemble
lesbienne	feminine singular of lesbien
vif	alive
dégager	to free (someone or something)
cat
gardiens	guard (someone who keeps guard of something)
demandons	to ask
boucher	butcher
noires	black in colour
désirs	desire
social	social/ related to society/ community
promets-moi
barbecue	barbecue
galaxie	galaxy
statut	status
carton	cardboard
fox
extrême	extreme
requête	request
francs	Frankish/ Franconian
planter	to plant
troy
provoqué	to provoke/ bring on/ bring about
citron	lemon
identification	identification
impressionner	to impress/ to wow/ to awe
commentaire	comment/ remark
nus	naked/ nude/ bare
chantier	building site
déplace	to move
saviez-vous
baker
chemins	path/ way/ road
unis	past participle of unir
arnaque	con/ rip-off/ swindling
ultime	ultimate
vaches	cow (bovine)
feraient	to do
quai	quay/ wharf
maïs	corn/ maize
bay
stark
cocktail	cocktail
pêcher	to fish
spécialité	speciality
orbite	to orbit (circle another object)
étudiante	student
correction	correction (all senses)
comptable	accountant
arraché	to uproot/ pull up/ tear out
manny
stuart
pénible	painful/ hard/ displeasing
appelés	past participle of appeler
signez	to sign (put a signature on)
vain	useless/ ineffective/ fruitless
afghanistan	Afghanistan (a landlocked country between Central Asia and South…
oreiller	pillow
wallace	ellipsis of fontaine Wallace
éclair	lightning bolt
sociaux	social/ related to society/ community
erica	a female given name/ a less common variant of Érica
tactique	tactic
alliés	friendly/ allied
violer	to violate
allergique	allergic (having an allergy)
villa	villa
croisé	crusader
bang	bang
cicatrice	scar
vitre	pane of glass/ window pane
postes	post office
apparaît	to appear (become visible)
habitué	a regular/ a denizen (a frequent customer)
codes	code
tonnerre	thunder
road
miracles	miracle
maîtres	master
zoe
sensé	sensible/ rational
melle
grange	a barn
promo	promo
donnez-lui
degré	degree
cibles	target
habillée	past participle of habiller
duncan
sentez-vous
espérant	to hope
appartenait	third-person singular imperfect indicative of appartenir
battus	beaten
flamme	flame
apportez	to bring (something)
bases	base (bottom part of something)
traînée	past participle of traîner
laser	laser (umbelliferous plant)
flipper	pinball machine/ pinball
katherine
amateur	lover of something
jen
serpents	snake
garcia
élite	elite
valeurs	value/ worth
contents	content/ satisfied/ pleased
chantage	blackmail/ shakedown (threat to obtain some advantage)
haley
yang	yang
poussez	to push
civile	civil
amber
ralentir	to slow down
happy
prudente	prudent
solaire	solar (relative to the sun)
miranda
rejeté	to throw back (a fish/ etc.)
psychopathe	psychopath
meredith
comparé	to compare
troubles	trouble
banc	bench (seat)
engin	any device/ contraption or machinery/ particularly a complex/…
amenée	past participle of amener
maillot	vest
pété	to blow off/ fart
joy
trajet	route/ course/ trajectory
développer	to develop
démarrer	to start/ to get started/ to start up (especially a vehicle)
gagnes	to win
peste	to rant/ curse/ fulminate
castle
viendrait	to come (to move from one place to another that is nearer the speaker)
down
déconne	to pull out/ "decunt" (remove one's penis from a vagina)
retrouvera	to find (again)/ to rediscover
denise	a female given name/ masculine equivalent Denis
habitudes	habit (action done on a regular basis)
confession	confession (admittance of having done something/ good/ bad or neutral)
académie	academy (learned society)
assassins	an assassin or other murderer
inventer	to invent (to make something for the first time)
cieux	plural of ciel
signalé	to signal
avancé	advanced (well developed)
rapporté	to bring back (physically bring something back from where it came…
trevor
barman	barman/ bartender
libère	to liberate/ to set free/ to release from captivity
tournez	to turn (left/ right etc.)
carnet	booklet/ notebook
complot	plot/ conspiracy
éloigne	to remove
nier	to deny
augmentation	an increase/ a raise
nanas	chick/ bird (especially when attractive)
pareils	such
emmenez-le
envoient	to send
dépôt	warehouse/ store/ depot/ depository
mariages	marriage
partagé	to share
actuelle	current
camions	lorry (UK)/ truck (US)
sonner	to sound
détendez-vous
appellera	to call (out)
physiquement	physically
reed
world
nichons	to nest (bird)
registre	register (official book)
mia
pompe	pump
frappée	beaten/ hit
veronica
présentation	the act of presenting
fabriquer	to make/ to build/ to manufacture
gene
saluer	to greet
joint	past participle of joindre
ondes	wave
évolution	evolution
augmente	to increase
empoisonné	to poison/ to kill by poisoning
grippe	influenza/ flu
détresse	distress/ despair/ anguish
effacé	to erase
chiffre	a digit i.e. 0/1/2/3/4/5/6/7/8/9
guerriers	warrior
battent	to bat
guéri	to cure/ to heal
hurler	to shout/ to yell
psychiatre	psychiatrist
confié	to confide
fit	third-person singular past historic of faire
when
orage	thunderstorm
xena
cavalier	horseman
soi-disant	self-proclaimed
commettre	to commit
aurais-je
déchiré	to tear/ to rip up
énervée	past participle of énerver
pendre	to hang
pousse-toi
mordre	to bite
brosse	to brush (to clean/tidy/shape with a brush)
craquer	to split/ to break
difficultés	difficulty
impatient	impatient
mario
guy	a male given name/ equivalent to English Guy
pyjama	pyjamas
flèche	arrow (projectile or symbol)
suivie	past participle of suivre
hommage	homage
rentrés	past participle of rentrer
éclate	to burst/ to break/ to shatter
crevé	popped
ordonnance	prescription
anglaise	English
accompli	achieved/ accomplished/ perfect
boxe	to box (to fight against (a person) in a boxing match)
serviettes	towel (cloth used for wiping)
diriez-vous
sèche	dry
maudite	damn/ cursed/ goddam
décroche	to unhook/ remove from a hook
veniez	to come (to move from one place to another that is nearer the speaker)
rendait	to give back
habituer	to get someone in the habit (of)
intuition	intuition (cognitive faculty)
serena
fondation	foundation (act of founding)
consulter	to consult
concierge	house-porter/ doorkeeper/ caretaker
rosie	past participle of rosir
bêtise	foolishness
comptent	to count
réunir	to gather/ collect
lâches	to release/ to loosen/ to let go
u	The twenty-first letter of the French alphabet/ written in the…
étrangère	foreign
philadelphie	Philadelphia (a large city in Pennsylvania/ United States)
harrison
inconscient	unthinking/ unaware
mairie	mayor’s office/ mayoralty
poussée	past participle of pousser
établi	to make out (a bill)/ to draw up (a document etc.)
vaisselle	crockery/ dishes/ dishware
hélico	chopper/ helicopter
volés	past participle of voler
ronde	round (shape)
fardeau	burden
hockey	hockey
choisie	past participle of choisir
brille	to shine/ to sparkle
ris	past participle of rire
alcoolique	alcohol/ alcoholic
doyle
cuit	to cook
remplie	past participle of remplir
entreprises	company/ business
ivan
éteins	to turn off (a switch/ device/ etc.)
premièrement	firstly/ in the first place
enchères	bid (in a sale/ an auction or the card game bridge)
pertes	loss
sous-marin	submarine (undersea boat)
rayons	ray/ beam (of light/ etc.)
annule	to cancel (to invalidate/ to annul)
kira
monk
livré	to deliver (a package/ merchandise etc.)
intérieure	interior
standard	standard
glissé	to slip/ to slide/ to skid
annoncé	to announce
civilisation	civilization
rentrant	present participle of rentrer
souper	dinner (the main evening meal)
aprés
veuilles	to want/ wish/ desire
institut	institute
ventes	sale
filmé	past participle of filmer
continuent	to continue
grey	a surname
fracture	fracture
reparti	to leave again/ to go back
demande-lui
concentre-toi	to concentrate
engage	inflection of engager:
fine	thin/ fine
dvd	DVD (optical disc)
fusils	rifle/ gun
wyatt
intéressée	interested
éléphant	elephant (large mammal of the family Elephantidae in the order…
bouclier	shield (broad piece of defensive armor/ held in hand/ formerly in…
avantages	advantage (advantageous position)
considérer	to consider (to look at)
chips	chips (American English)/ crisps (British English)
rappelle-moi
atterrissage	landing on the ground/ touchdown (of an aircraft)
voyou	urchin/ street child
connie
houston
fabriqué	to make/ to build/ to manufacture
coiffure	headwear/ headgear (garment worn on one's head)
payez	to pay (for)
jusque-là
ri	past participle of rire
botte	boot (footwear)
arrêtait	to stop/ to come to a standstill/ to halt/ to stop from moving
député	deputy (delegate)
stefan
patronne	a boss/ employer/
cookies	cookie (American-style biscuit)
barrière	barrier
obtient	to get/ to obtain
disposition	arrangement/ layout
papillon	butterfly
capturé	past participle of capturer
attendra	to wait for/ to await
entrés	past participle of entrer
tucker
adorait	to love/ to adore
emporté	to take
dramatique	dramatic
pourvu	past participle of pourvoir
originale	original
accroche	to hook/ hook up (attach with a hook)
ras	short
superman	superman
pop	pop (popular)
district	district
apprendra	to learn
sorties	exit/ way out
tranquillement	calmly/ peacefully/ quietly/ serenely/ tranquilly
tenez-vous	to have/ to hold
sharon
arrières	back/ rear
préférez	to prefer
radar	radar
halte	halt/ pause/ break
deux-là
zombie	alternative spelling of zombi
grille	bars/ railings/ rack/ grate
critiques	critical (urgent)
soucier	to worry
promet	to promise
visiblement	visibly
mâle	male
donnant	to give/ to transfer the possession/holding of something to…
ciao	ciao
copines	female equivalent of copain: female friend/ girl friend/ chum/ pal
brenda
paniqué	to panic
poète	poet
licence	licence
sauvés	past participle of sauver
col	collar
titres	heading/ title (name of a piece of work)
verrais	to see (visually)
chan
valent	to be worth
admis	to admit/ to accept/ to recognize
emprunté	to borrow (~ à (“from”))
honnêtes	honest (scrupulous with regard to telling the truth)
attentivement	attentively
techniques	technical
passerelle	footbridge
melissa
réalises	to direct (a movie)
reculer	to move back/ to put back
transmission	transmission
drake
gré	satisfaction/ pleasure
poignet	wrist
montant	to go up/ to climb (go to a higher position)
embarrassant	embarrass
beau-père	a father-in-law/ the father of one's spouse
maîtrise	to master/ have authority over somebody
lydia	a female given name/ a Latinized variant of Lydie
remplace	to replace
solo	solo (a piece of music for one performer)
toile	fabric/ cloth/ canvas
hunter
parrain	godfather/ masculine of marraine
transmettre	to transmit
honorable	honorable
jolis	pretty/ cute
aussitôt	immediately
facteur	factor/ element
pere	a surname from Occitan
east
claque	slap on the cheek
chloe	alternative form of Chloé: a female given name/ variant of Chloé/…
impliquée	past participle of impliquer
sabre	a single-edged sword
filet	trickle/ drizzle (of liquid etc.)/ wisp (of smoke)
troupe	troop
henri	a male given name/ equivalent to English Henry
brandon	firebrand/ torch made of twisted straw
onze	eleven
conclure	to conclude
claudia	a female given name from Latin/ a Latinate variant of Claudie
analyser	to analyse
antécédents	antecedent/ preceding
pâle	pale (light in color)
servira	to serve (to help in a shop/ to bring a meal to someone)
investissement	investment
sentie	past participle of sentir
pére
puissants	powerful/ mighty
facebook	Facebook
vice-président	vice-president
bud
fixer	to fix/ fasten
levée	removal (act of removing or taking off)
paula
poli	to shine/ to make a surface very smooth or shiny by rubbing/…
expliquerai	to explain
day
surprenant	to surprise
shopping	shopping (act of shopping)
visuel	visual
directrice	director
imbéciles	stupid/ foolish/ acting like an imbecile
vulnérable	vulnerable
pacifique	pacific
correspondance	correspondence
retiens	to retain/ hold
éliminé	to eliminate/ to phase out
chienne	dog
conte	tale/ story
compagnon	lifelong partner/ significant other
difficulté	difficulty
fées	fairy/ fay
arrivant	to arrive (often followed by a location)
caravane	caravan (convoy or procession of travellers/ their cargo and…
da
disparus	missing in action person
embêter	to bug/ bother/ annoy
balader	to stroll/ walk around
pharmacie	pharmacy/ drugstore
défilé	past participle of défiler
ramasse	to row
âgé	old/ elderly
chanteur	female singer/ songstress
avery
précise	Which does not leave doubt/ specific/ explicit
rançon	ransom
infirmières	nurse
bossé	to emboss
grayson
miguel
bauer	a surname from German
retient	to retain/ hold
étonnerait	to surprise
lawrence
miennes	(of) mine/ my own
kidnappé	to kidnap
souhaitez	to wish (for)/ to hope (for)
nounou	nanny
adams
ralentis	to slow down
repérer	to map out/ to mark/ to reference
automatique	automatic
bowling	bowling
détruite	past participle of détruire
emménager	to move in (to a new home)
laissés	past participle of laisser
comptais	to count
us	mores/ traditional practices or manners
dormez	to sleep
cindy
sebastian
gant	glove
maurice	Mauritius (a country in the Indian Ocean/ east of East Africa and…
discipline	discipline/ sanction
choisissez	to choose
bisou	kiss (friendly kiss)
connaissances	knowledge
bernard	a male given name/ equivalent to English Bernard
paperasse	paperwork/ bumf
essais	try/ trial
hauts	high
affiche	poster
pardonné	to pardon/ forgive
dallas	to pave with slabs
enfermée	past participle of enfermer
recevez	to receive
good
fisher
loge	small cabin/ hut
camionnette	van
rocher	rock (mass of projecting rock)
transféré	to transfer/ remove
supérieurs	superior
héritier	heir (someone in line to inherit)
payés	past participle of payer
terribles	terrible
sénat	senate
polly
partes	to share/ to share out/ to divide
individu	individual
dites-nous
continuons	to continue
décevoir	to disappoint
fusion	fusion (act of melting or liquefying something by heating it)
conne	(dated) cunt/ pussy (the female genitalia)
ado	teen/ teenager
crane
angie
airs	air (gases of the atmosphere)
traumatisme	trauma
pierce
comtesse	count/ earl
basé	past participle of baser
auriez-vous
défaite	defeat/ loss
khan	khan
rapprocher	to reapproach/ to approach again
assassiner	to assassinate
talons	to damage (a fruit)
œuf	egg
compté	to count
rosa	to render pink/ to pink
haricots	A stew of lamb and vegetables.
roulé	to roll
fiable	reliable/ dependable
voulions	to want/ wish/ desire
morris
renfort	reinforcement
escroc	crook (a criminal who steals)
fassent	to do
déconner	to pull out/ "decunt" (remove one's penis from a vagina)
andré	Andrew. (biblical character)
céréales	cereal (plant)
tit	contraction of petit
bandes	to bandage
artistique	artistic
fins	end/ close/ finish
georges	a male given name/ equivalent to English George
blâmer	criticize/ pass censure on
perdant	to lose (be unable to find)
décédé	to pass away/ decease
lloyd
brouillard	fog/ mist
quelques-uns	one (out of several)
oses-tu
caleb	Caleb
occupez-vous	to occupy/ to take up
brute	feminine singular of brut
cinquante	fifty
calibre	calibre
trottoir	sidewalk/ pavement/ footpath (paved path located at the side of a…
poubelles	rubbish bin/ garbage can
pilule	pill (small object to be swallowed)
portais	to carry
arabe	Arabic
qualités	quality
voire	truly
encre	ink
eus	to have/ to own/ to possess/ to get
foudre	lightning
visions	vision/ sight
légèrement	lightly
loupé	to miss
not
blesse	to wound/ to injure
fortes	strong/ powerful
existait	to exist
cochons	piglet
aimeriez	to love (usually of a person/ otherwise the meaning is closer to…
shirley
marchand	merchant/ mercantile
poursuivi	to pursue/ to chase
démocratie	democracy
script	script (written dialogue for a play/ film/ etc.)
loyal	loyal/ faithful
respirez	to breathe
sueur	sweat/ perspiration
espions	spy (person who secretly watches)
li	li (Chinese unit of distance)
battue	beaten
changez	to exchange (something)
précieuse	precious
impliquer	to implicate/ to accuse
empêché	to stop/ to prevent/ to hinder
satisfaire	to satisfy
plonger	to dive
pilotes	pilot (controller of aircraft)
reagan
toilette	toilet
spéciaux	special
vagin	vagina
décrit	to describe
hanna
boucles	loop (line returning to its origin)
coupables	guilty
coupée	divided into two equal parts horizontally/ per fess/ said of an…
former	to form (generic sense)
typique	typical
pleures	to cry/ to weep/ to shed tears
humaines	human
faille	to need/ have to/ to be necessary (that)
alfred	a male given name
allure	appearance/ look
sucer	to suck
copies	to copy
habiter	to live in/ to occupy (to have as a home.)
raciste	racist
allonger	to lay down
ressort	resilience/ elasticity
drôles	funny/ amusing
serviteur	servant
sexuelles	sexual
case	hut/ cabin/ shack
personnelles	personal
championnat	championship
web	alternative letter-case form of Web
locaux	local
domestique	domestic
cd	CD (compact disk)
remplis	to fill/ to fill up (make full)
veine	vein
pa	CV (“aircraft carrier”)/ initialism of porte-avions
ennuyer	to afflict with boredom/ to bore
ravissante	ravishing/ delightful/ entrancing
honnêteté	honesty
moques	to mock
voudriez-vous
sid
thompson
approprié	past participle of approprier
patrie	homeland/ home country/ country of origin/ fatherland
canons	cannon/ (big) gun
reconnaissante	grateful/ thankful
nécessaires	necessary
philippe	a male given name/ equivalent to English Philip/ very popular in…
monroe
forcée	past participle of forcer
guider	to guide
verts	green
certificat	certificate/ certification/ credentials
amende	fine (payment)
présume	to presume/ assume
pan	piece/ part
ana
fusée	rocket (vehicle)
zack
séparation	separation
jeffrey
renvoie	to resend/ retransmit/ to send again
beverly
sciences	science (field of study/ etc.)
caca	poo/ poop (childish word for excrement/ fecal matter/ dung/ crap)
désespoir	despair
voeux	nonstandard spelling of vœu
auberge	hostel
diront	to say/ to tell (to express through speech)
moore	a surname from English
bishop
zombies	zombie
boyd
magazines	magazine (periodical publication)
marquer	to mark/ mark down (to add a mark or a spot to something)
rechercher	to search for/ seek/ to look for
soie	silk
stella
chèvre	goat (species)
hache	axe
winston
fraude	fraud
perry
ignorez	to ignore
racontez	to recount/ to tell/ to narrate
hot	involving or characterized by sex
mont	mountain/ mount/ mont
carburant	to carburet
ve	abbreviation of veuve
tapé	to slap/ knock/ beat
veines	vein
méritent	to deserve/ merit
ç	"c cédille"/ the letter c with a cedilla
démissionné	to resign
méritait	to deserve/ merit
alien	alien (extraterrestrial)
médicaux	medical
australie	Australia (a country consisting of a main island/ the island of…
insulte	to insult
farce	stuffing
tires	verbal noun of tirer/ pulling/ drawing
appât	lure
folles	mad/ crazy
explorer	to explore
instrument	instrument (means or agency for achieving an effect)
noah
gage	pledge/ guarantee
concentré	past participle of concentrer
précédent	previous/ preceding/ earlier
cortex	cortex
curieuse	curious/ inquisitive/ intrigued/ wondering/ possessing curiosity
réponds-moi
déçue	disappointed
âne	donkey/ ass
hal
lt
scotty
danseuse	female equivalent of danseur
corruption	corruption (act of corrupting)
oeuf	nonstandard spelling of œuf
secondaire	secondary
ombres	shade/ shadow
who
économies	economy
chauve	bald (devoid of hair)
reese
tableaux	painting
entouré	to surround
contrats	contract
sauront	to know (something)
retournes	to turn over/ turn upside-down/ (in cooking) to turn
fumé	to smoke
silver
adopter	to adopt (claim legal ownership of a child)
comptait	to count
demandant	to ask
épicerie	bodega/ convenience store/ grocery store (specialty food shop)
bennett
applaudissements	applause/ clapping
rentrera	to go back/ to re-enter
suicidé	suicide/ someone who has committed suicide
déchets	plural of déchet
installe	to install
clyde
inconnus	unknown/ obscure/ unfamiliar/ strange
souhaiter	to wish (for)/ to hope (for)
gratuitement	freely/ for free
voté	to vote
have
supermarché	supermarket
pleurs	cry (action of producing tears)
crache	to spit
rideau	curtain (woven fabric to cover/ e.g./ windows)
février	February
mises	placement/ (act of) putting
préoccupe	to concern/ preoccupy
